Rock_Type,F_ppm,Cl_ppm,Br_ppb,I_ppb
HP eclogite,254,40,128,42
HP eclogite,356,43,118,3
HP eclogite,273,43,118,75
HP eclogite,64,18,94,42
HP eclogite,255,22,83,7
HP eclogite,125,8,47,42
HP eclogite,235,40,114,41
HP eclogite,329,24,113,29
HP eclogite,309,27,68,8
HP eclogite,370,29,104,3
HP eclogite,374,34,140,8
HP eclogite,344,25,106,9
HP eclogite,271,43,98,3
HP eclogite,292,34,104,18
HP eclogite,306,24,89,37
HP eclogite,280,21,80,27
HP eclogite,268,40,116,28
HP eclogite,280,54,129,54
HP eclogite,286,51,130,52
HP eclogite,183,30,127,54
HP eclogite,202,30,68,33
HP eclogite,330,21,104,45
HP eclogite,469,20,104,3
HP eclogite,247,31,84,18
HP eclogite,279,18,89,26
HP eclogite,425,27,86,4
HP eclogite,442,35,63,7
HP eclogite,481,44,63,7
HP eclogite,392,48,103,3
HP eclogite,440,33,104,3
HP eclogite,447,46,138,3
HP eclogite,411,35,29,3
HP eclogite,447,57,138,32
HP eclogite,371,69,161,53
HP eclogite,410,44,85,21
HP eclogite,413,35,33,3
HP eclogite,392,48,129,8
HP eclogite,380,44,96,3
HP eclogite,89,19,40,44
HP eclogite,89,20,50,53
HP eclogite,88,18,32,44
HP eclogite,333,34,142,63
HP eclogite,156,25,139,44
HP eclogite,212,29,100,69
HP eclogite,187,30,103,8
HP eclogite,177,29,66,35
HP eclogite,170,31,103,36
HP eclogite,182,29,104,31
HP eclogite,385,31,134,19
HP eclogite,147,29,73,44
HP eclogite,123,32,101,44
HP eclogite,123,34,72,44
HP eclogite,119,26,133,18
HP eclogite,131,35,103,30
HP eclogite,135,34,104,47
HP eclogite,391,43,120,8
HP eclogite,383,45,130,8
HP eclogite,318,58,116,62
HP eclogite,449,37,77,3
HP eclogite,142,11,60,61
HP eclogite,299,28,137,55
HP eclogite,271,32,140,34
HP eclogite,451,33,96,46
HP eclogite,82,15,17,7
HP eclogite,211,9,25,2
HP eclogite,211,9,25,2
HP eclogite,213,80,172,42
HP eclogite,151,9,74,45
HP eclogite,293,29,139,55
HP eclogite,169,34,75,3
HP eclogite,139,33,79,16
HP eclogite,99,10,83,35
HP eclogite,101,23,105,13
HP eclogite,145,16,70,62
HP eclogite,116,22,102,12
HP eclogite,272,41,147,66
HP eclogite,293,29,146,68
HP eclogite,103,22,104,38
HP eclogite,296,27,137,70
HP eclogite,100,24,76,8
HP eclogite,353,46,151,67
HP eclogite,137,11,132,43
HP eclogite,106,21,79,12
HP eclogite,116,15,114,14
HP eclogite,340,30,119,5
HP eclogite,147,5,43,60
HP eclogite,152,9,48,56
HP eclogite,157,14,70,55
HP eclogite,118,7,47,37
HP eclogite,120,14,194,59
HP eclogite,113,7,34,66
HP eclogite,116,4,48,60
HP eclogite,120,14,194,59
HP eclogite,113,7,34,66
HP eclogite,147,5,43,60
HP eclogite,116,4,48,60
HP eclogite,152,9,48,56
HP eclogite,157,14,70,55
HP eclogite,118,7,47,37
HP eclogite,137,7,42,59
HP eclogite,173,23,42,60
HP eclogite,158,22,45,65
HP eclogite,153,22,46,62
HP eclogite,165,33,126,54
HP eclogite,161,23,44,62
HP eclogite,171,22,48,60
HP eclogite,147,24,38,57
HP eclogite,159,22,42,60
HP eclogite,166,22,72,56
HP eclogite,193,45,124,56
HP eclogite,193,39,85,57
HP eclogite,299,28,53,36
HP eclogite,282,31,59,46
HP eclogite,168,28,45,51
HP eclogite,204,24,71,47
HP eclogite,210,38,122,3
HP eclogite,297,37,72,3
HP eclogite,339,24,61,3
HP eclogite,230,44,117,3
HP eclogite,244,19,28,8
HP eclogite,277,35,145,45
HP eclogite,344,36,173,5
HP eclogite,238,45,136,15
HP eclogite,269,30,40,2
HP eclogite,283,17,87,41
HP eclogite,170,29,96,13
HP eclogite,152,11,52,14
HP eclogite,183,11,39,15
HP eclogite,161,19,34,91
HP eclogite,166,15,69,18
HP eclogite,165,20,72,11
HP eclogite,156,14,86,16
HP eclogite,162,23,52,17
HP eclogite,147,29,47,10
HP eclogite,183,22,78,3
HP eclogite,153,20,61,16
HP eclogite,129,28,43,30
HP eclogite,136,14,85,46
HP eclogite,369,24,89,3
HP eclogite,179,15,142,29
HP eclogite,211,31,50,33
HP eclogite,324,32,23,3
HP eclogite,227,51,85,38
HP eclogite,275,29,52,20
HP eclogite,268,33,51,4
HP eclogite,78,13,56,41
HP eclogite,257,29,113,71
HP eclogite,267,36,41,31
HP eclogite,116,17,68,47
HP eclogite,178,25,94,49
HP eclogite,158,10,93,52
HP eclogite,166,14,85,53
HP eclogite,178,35,109,41
HP eclogite,132,20,114,77
HP eclogite,107,20,81,89
HP eclogite,145,29,72,68
HP eclogite,120,36,95,59
HP eclogite,160,31,73,56
HP eclogite,69,25,70,23
HP eclogite,69,37,93,24
HP eclogite,152,33,78,17
HP eclogite,202,61,156,47
HP eclogite,188,38,160,54
HP eclogite,174,56,153,46
HP eclogite,220,42,160,47
HP eclogite,217,59,153,49
HP eclogite,352,44,124,31
HP eclogite,183,40,119,54
HP eclogite,113,35,130,53
HP eclogite,231,55,161,51
HP eclogite,193,40,152,56
HP eclogite,63,26,101,57
HP eclogite,168,10,47,52
HP eclogite,60,20,45,105
HP eclogite,76,10,65,87
HP eclogite,62,17,64,44
HP eclogite,157,15,61,87
HP eclogite,57,14,32,45
HP eclogite,57,7,59,29
HP eclogite,240,22,117,3
HP eclogite,265,25,52,4
HP eclogite,213,29,73,16
HP eclogite,203,30,88,16
HP eclogite,199,26,78,17
HP eclogite,106,11,85,64
HP eclogite,101,9,114,63
HP eclogite,393,25,107,17
