stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
Blueschist,W188518,1,5,272,29,105,50
Blueschist,M142572,1,5,254,21,93,64
Blueschist,W189354,1,5,386,29,250,35
Blueschist,D133221,1,5,374,30,125,76
Blueschist,W188493,1,5,350,33,120,37
Blueschist,W188476,1,5,384,29,118,27
Blueschist,W188478,1,5,432,35,117,18
Blueschist,W188479,1,5,430,32,118,21
Blueschist,W188480,1,5,401,37,230,52
Blueschist,W188482,1,5,365,28,134,91
Blueschist,W188483,1,5,376,22,123,119
Blueschist,W188488,1,5,353,33,114,38
Blueschist,W188489,1,5,317,32,114,37
Blueschist,W188492,1,5,341,28,126,55
Blueschist,W188494,1,5,449,39,120,122
Blueschist,W188495,1,5,407,38,128,82
Blueschist,W188496,1,5,386,26,145,60
Blueschist,W188498,1,5,346,22,104,63
Blueschist,W188499,1,5,385,25,119,41
Blueschist,W188501,1,5,361,35,123,52
Blueschist,W189351,1,5,386,26,141,58
Blueschist,W189352,1,5,379,29,120,31
Blueschist,W189355,1,5,385,24,99,28
HP eclogite,NC14-11,0.5,2,197,17,121,6
HP eclogite,NC14-12,0.5,2,192,14,77,6
HP eclogite,NC15-1,0.5,2,156,29,152,14
HP eclogite,705,0.5,2,166,13,59,41
HP eclogite,707,0.5,2,154,25,37,48
HP eclogite,706,0.5,2,97,28,43,44
HP eclogite,3102,0.5,2,162,16,64,54
HP eclogite,3101,0.5,2,189,16,47,40
HP eclogite,803,0.5,2,113,12,123,75
HP eclogite,805,0.5,2,103,8,74,58
HP eclogite, ,0.5,2,249,13,115,52
HP eclogite,41-A,0.5,2,176,19,174,64
HP eclogite,40-A,0.5,2,193,17,175,47
HP eclogite,18-Ⅱ,0.5,2,180,14,149,65
HP eclogite,17-Ⅱ,0.5,2,173,17,143,62
HP eclogite,16-Ⅱ,0.5,2,238,24,134,63
HP eclogite,15-C,0.5,2,183,25,149,67
HP eclogite,15-Ⅱ,0.5,2,193,18,150,66
HP eclogite,15-A,0.5,2,168,13,144,74
HP eclogite,13-Ⅱ,0.5,2,228,13,152,63
HP eclogite,12-Ⅱ,0.5,2,230,16,168,61
HP eclogite,11-Ⅰ,0.5,2,253,17,173,17
HP eclogite,53-I,0.5,2,140,29,39,40
HP eclogite,56-I,0.5,2,178,19,84,47
